# Generated by tools/check_doc_citations.py. Do not hand-edit: rebuild with
# `just doc-citations-update` and review the diff, the same rule docs/parity-index.tsv and
# the generated data tables live under.
#
# One row per file:line citation in the markdown. `hash` keys the cited lines as they exist
# now, so `just check-doc-citations` fails when a document's pointer stops meaning what it
# meant. It says a citation moved. It never says whether the sentence around it is true.
#
doc	kind	target	lines	hash
AGENTS.md	vanilla	NPC.cs	12345	3713bbfd76dc
CONTRIBUTING.md	vanilla	Wiring.cs	2042	5fc4eb5bfc4b
README.md	repo	crates/terrustia/src/game/server/console.rs	662-685	fa0d0708b3c7
README.md	repo	crates/terrustia/src/world/wld.rs	1028-1033	94ea10517d40
README.md	repo	crates/terrustia/src/world/wld_save.rs	124-152	5d656218a812
README.md	repo	crates/terrustia/src/world/wld_save.rs	538-550	c29b8bb061bb
README.md	repo	crates/terrustia/src/world/wld_save.rs	576-584	b4309063fd19
README.md	vanilla	WorldGen.cs	18963-19030	b2390d6ac6ca
TODO.md	repo	crates/terrustia/src/game/ai/boss/fishron.rs	390	66d7035bd9d4
TODO.md	repo	crates/terrustia/src/game/ai/mod.rs	1084-1094	7bce0e19614e
TODO.md	repo	crates/terrustia/src/game/npc_ai.rs	501	688c16f54c42
TODO.md	repo	crates/terrustia/src/game/rescues.rs	26-33	411d8c041fc6
TODO.md	repo	crates/terrustia/src/game/server/console.rs	833	d9181fea9d7e
TODO.md	repo	crates/terrustia/src/game/server/dispatch.rs	1750	c926819373db
TODO.md	repo	crates/terrustia/src/game/server/dispatch.rs	4017-4023	00943613abb4
TODO.md	repo	crates/terrustia/src/game/server/mod.rs	2062-2069	36d81e788fc8
TODO.md	repo	crates/terrustia/src/game/server/mod.rs	91	54d90ef01540
TODO.md	repo	crates/terrustia/src/game/server/systems.rs	2693	530b3fd943c2
TODO.md	repo	crates/terrustia/src/game/server/systems.rs	3597	4c4586b31d12
TODO.md	repo	crates/terrustia/src/game/server/systems.rs	5225	41cd68f3886e
