id	name	direction	client_sends	server_sends	status	recv_impl	send_impl	evidence	tests
0	NeverCalled	none	n-a	n-a	dead-slot	none	none	The sentinel id; MessageBuffer's switch on the message type never matches it for a real frame.	none
1	Hello	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs; integration test in terrustia/tests/handshake.rs
2	Kick	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:43	round-trip unit test in terrustia-proto/src/packets.rs; integration test in terrustia/tests/handshake.rs
3	PlayerInfo	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:52	round-trip unit test in terrustia-proto/src/packets.rs; integration test in terrustia/tests/gameplay.rs; integration test in terrustia/tests/handshake.rs
4	SyncPlayer	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/player_info.rs:78; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/player_info.rs; integration test in terrustia/tests/handshake.rs
5	SyncEquipment	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/inventory.rs:99; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/inventory.rs
6	RequestWorldData	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/handshake.rs
7	WorldData	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:595	round-trip unit test in terrustia-proto/src/packets.rs; live re-encode check in terrustia-client/examples/conform.rs; integration test in terrustia/tests/gameplay.rs; integration test in terrustia/tests/handshake.rs
8	SpawnTileData	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/handshake.rs
9	StatusTextSize	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:78	round-trip unit test in terrustia-proto/src/packets.rs; integration test in terrustia/tests/handshake.rs
10	TileSection	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/section.rs:308	round-trip unit test in terrustia-proto/src/section.rs; live re-encode check in terrustia-client/examples/conform.rs; integration test in terrustia/tests/handshake.rs
11	TileFrameSection	none	no	no	deprecated	none	none	MessageID.cs: `[Old("Deprecated. Framing happens as needed after TileSection is sent.")]`. NetMessage.cs:430 and MessageBuffer.cs:895 both still carry a case, but no call site in the decompiled tree sends it (same structurally-present-but-unreachable pattern as id 24).	none
12	PlayerSpawn	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:117; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/packets.rs; live re-encode check in terrustia-client/examples/conform.rs
13	PlayerControls	both	yes	yes	live	dispatched	generic-relay	relayed via packets::rewrite_owner/verbatim at server.rs:4563; server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/handshake.rs; byte-for-byte golden at full 48-byte size in terrustia-proto/src/packets.rs
14	PlayerActive	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:132	round-trip unit test in terrustia-proto/src/packets.rs; integration test in terrustia/tests/handshake.rs
15	Unknown15	none	no	no	deprecated	none	none	MessageID.cs: `[Old("Deprecated.")]`. No SendData case in NetMessage.cs; MessageBuffer.cs:4511 groups it under a bare `break;` with 25/26/44/67/83.	none
16	PlayerLifeMana	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:156; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/packets.rs; live re-encode check in terrustia-client/examples/conform.rs
17	TileManipulation	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:1276; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/packets.rs; live re-encode check in terrustia-client/examples/conform.rs; integration test in terrustia/tests/handshake.rs
18	SetTime	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:198	round-trip unit test in terrustia-proto/src/packets.rs
19	ToggleDoorState	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/objects.rs:210; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/objects.rs; integration test in terrustia/tests/gameplay.rs
20	AreaTileChange	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/square.rs:78; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/square.rs; live re-encode check in terrustia-client/examples/conform.rs; integration test in terrustia/tests/gameplay.rs
