# Generated by tools/parity_index.py. Do not hand-edit: rebuild with `just parity-update` and
# review the diff, the same rule the generated data tables live under.
#
# One row per vanilla citation in `crates/*/src`. `vanilla_hash` keys the cited lines as they exist
# in the decompiled tree; `our_hash` keys the body of the Rust item the citation is attached to,
# with comment-only lines dropped. `just check-parity` recomputes both and fails when either moved,
# naming which: the vanilla side means the citation drifted or the tree was regenerated, our side
# means the transcription was edited after it was checked against the game.
#
# This says whether a transcription is still the code it was checked against. It never says whether
# it is correct. `just parity-coverage` says what is cited by nothing at all, which is the other
# half and the half that cannot overstate.
rust_file	item	vanilla_file	lines	vanilla_hash	our_hash
crates/terrustia-client/src/lib.rs	impl Client :: fn interpret	MessageBuffer.cs	1358-1437	b13f7c4cbf63	3139851866b7
crates/terrustia-client/src/lib.rs	struct Client	MessageBuffer.cs	937	d661af45dfe9	c5f23d2365ca
crates/terrustia-codegen/src/bin/deadwrite.rs	const ALLOWED	NPC.cs	81972-81990	31a3373a0f5c	33bdb04ff0f5
crates/terrustia-codegen/src/bin/deadwrite.rs	const ALLOWED	NPC.cs	92278	7989d98b6913	33bdb04ff0f5
crates/terrustia-codegen/src/bin/deadwrite.rs	const ALLOWED	Player.cs	20602	25ce67899292	33bdb04ff0f5
crates/terrustia-codegen/src/bin/deadwrite.rs	const ALLOWED	Player.cs	44763	35281e1cb76f	33bdb04ff0f5
crates/terrustia-codegen/src/bin/deadwrite.rs	const ALLOWED	Projectile.cs	13686	ba18a6ddbaf0	33bdb04ff0f5
crates/terrustia-codegen/src/drops.rs	(file)	ItemDropDatabase.cs	235-240	f1c21f1e97f9	fdb8cc39f720
crates/terrustia-codegen/src/drops.rs	(file)	ItemDropDatabase.cs	332-333	5dd01e3770cf	fdb8cc39f720
crates/terrustia-codegen/src/drops.rs	(file)	ItemDropRule.cs	80-85	c3d45d775977	fdb8cc39f720
crates/terrustia-codegen/src/drops.rs	const FLAT	ItemDropRule.cs	45-48	48b769536929	7f0bd4c86b4c
crates/terrustia-codegen/src/drops.rs	fn desugar_gel	ItemDropDatabase.cs	937,962,1066,1067,1080,1082,1087,1088	46ffb0331e73	4737a6fcd57f
crates/terrustia-codegen/src/drops.rs	fn desugar_gel	ItemDropRule.cs	80-85	c3d45d775977	4737a6fcd57f
crates/terrustia-codegen/src/drops.rs	fn generate	ItemDropDatabase.cs	15	58c46fb7b259	c75dd5ed8812
crates/terrustia-codegen/src/drops.rs	fn luck_of	CommonDrop.cs	36	7eba7236bea4	e8015ddffbc8
crates/terrustia-codegen/src/drops.rs	fn luck_of	CommonDropScalingWithOnlyBadLuck.cs	17	949d3fdf6d7f	e8015ddffbc8
crates/terrustia-codegen/src/drops.rs	fn luck_of	ItemDropRule.cs	107-110	ef438a74eb24	e8015ddffbc8
crates/terrustia-codegen/src/drops.rs	fn luck_of	ItemDropRule.cs	112-115	3003a2a79112	e8015ddffbc8
crates/terrustia-codegen/src/drops.rs	fn luck_of	ItemDropRule.cs	50-53	12de0740657f	e8015ddffbc8
crates/terrustia-codegen/src/drops.rs	fn parse	ItemDropDatabase.cs	235-240	f1c21f1e97f9	73cf9ccbed46
crates/terrustia-codegen/src/drops.rs	fn parse	ItemDropDatabase.cs	332-333	5dd01e3770cf	73cf9ccbed46
crates/terrustia-codegen/src/drops.rs	fn parse	ItemDropRule.cs	87-90	cbc97ecefeac	73cf9ccbed46
crates/terrustia-codegen/src/drops.rs	fn parse_master	DropPerPlayerOnThePlayer.cs	24	287fca8afd87	e2d9e45154f0
crates/terrustia-codegen/src/drops.rs	fn parse_master	ItemDropDatabase.cs	457-469	c9437160179b	e2d9e45154f0
crates/terrustia-codegen/src/drops.rs	fn parse_master	ItemDropRule.cs	25-28	7b173b5e0059	e2d9e45154f0
crates/terrustia-codegen/src/drops.rs	fn parse_master	ItemDropRule.cs	25-32	cb898690f3cb	e2d9e45154f0
crates/terrustia-codegen/src/drops.rs	fn parse_master	ItemDropRule.cs	30-33	ce61999e6f30	e2d9e45154f0
crates/terrustia-codegen/src/drops.rs	fn prepare	ItemDropDatabase.cs	753	153c66d302e7	53a7c190c766
crates/terrustia-codegen/src/drops.rs	fn prepare	ItemDropDatabase.cs	759	dbe410c78d1c	53a7c190c766
crates/terrustia-codegen/src/net_variants.rs	(file)	NPC.cs	8460-8463	ef524a1ea4d7	c01d5b391b23
crates/terrustia-codegen/src/projectiles.rs	fn inline_default_helpers	Projectile.cs	10693-10786	a3e5a1f17569	b7e3d59ac041
crates/terrustia-codegen/src/projectiles.rs	fn read_into	Projectile.cs	7141-7154	0a01bbde9552	bf038e01a0f2
crates/terrustia-codegen/src/recipes.rs	fn generate	Recipe.cs	16795-16800	7d1609a03bc9	59c9a184f031
crates/terrustia-codegen/src/recipes.rs	fn resolve_recipe_locals	Recipe.cs	15721	b7a451b211ea	55256ec5f22d
crates/terrustia-codegen/src/recipes.rs	fn resolve_recipe_locals	Recipe.cs	608-609	73dfdde5cc0b	55256ec5f22d
crates/terrustia-codegen/src/recipes.rs	fn resolve_recipe_locals	Recipe.cs	6280	8839e31a1902	55256ec5f22d
crates/terrustia-codegen/src/recipes.rs	fn resolve_recipe_locals	Recipe.cs	6374	d06e6d06c324	55256ec5f22d
crates/terrustia-codegen/src/tile_object.rs	(file)	TileObjectData.cs	1186-1201	264868188ba7	4e21f1e47e4d
crates/terrustia-codegen/src/tile_object.rs	(file)	TileObjectData.cs	1698-1715	d0f6ed09ce23	4e21f1e47e4d
crates/terrustia-codegen/src/tile_object.rs	(file)	TileObjectData.cs	1805-1811	261d9bfc6d15	4e21f1e47e4d
crates/terrustia-codegen/src/tile_object.rs	(file)	TileObjectData.cs	2009-2014	c3b99efa7ae8	4e21f1e47e4d
crates/terrustia-codegen/src/tile_object.rs	(file)	TileObjectData.cs	2111-5015	6ed63ec7fe60	4e21f1e47e4d
crates/terrustia-codegen/src/tile_object.rs	impl Obj :: fn clone_base	TileObjectData.cs	1194-1200	81bef0a63f73	9d1f6afd09ba
crates/terrustia-codegen/src/travel_shop.rs	fn flags_of	Chest.cs	1168	e015f6ad9230	4e9106f7b1cf
crates/terrustia-codegen/src/travel_shop.rs	fn generate	Chest.cs	1168-1175	0fffc6068c49	e1ffd25c2251
crates/terrustia-codegen/src/travel_shop.rs	mod tests :: fn the_travelling_merchant_can_offer_both_counterweights	Chest.cs	980-987	8b4e8a266221	9a516acd9a90
crates/terrustia-codegen/src/travel_shop.rs	struct Entry	Chest.cs	980-987	8b4e8a266221	d8c3ab90e0c9
crates/terrustia-proto/src/conditional_drops.rs	fn always	ItemDropDatabase.cs	179	52458fe0919b	b90adfdea13e
crates/terrustia-proto/src/conditional_drops.rs	fn always	ItemDropRule.cs	45-48	48b769536929	b90adfdea13e
crates/terrustia-proto/src/conditional_drops.rs	fn bundled_with	ItemDropDatabase.cs	268-270	954323ad84d9	e14d00ee0a08
crates/terrustia-proto/src/conditional_drops.rs	fn bundled_with	ItemDropDatabase.cs	347-349	6da9e61b6e19	e14d00ee0a08
crates/terrustia-proto/src/conditional_drops.rs	fn bundled_with	ItemDropDatabase.cs	354-357	87f76b564c35	e14d00ee0a08
crates/terrustia-proto/src/conditional_drops.rs	fn bundled_with	ItemDropDatabase.cs	425-426	9e5e675ad8f7	e14d00ee0a08
crates/terrustia-proto/src/conditional_drops.rs	fn bundled_with	ItemDropDatabase.cs	654-656	8ce5a44a643b	e14d00ee0a08
crates/terrustia-proto/src/conditional_drops.rs	fn by_mode	ItemDropDatabase.cs	1170	1eac08736b06	b4fa079008d3
crates/terrustia-proto/src/conditional_drops.rs	fn by_mode	ItemDropDatabase.cs	501-503	4c33e6203671	b4fa079008d3
crates/terrustia-proto/src/conditional_drops.rs	fn can_drop_a_biome_soul	Conditions.cs	1574-1606	214bcac23754	d7c5e3964e97
crates/terrustia-proto/src/conditional_drops.rs	fn can_drop_a_biome_soul	Conditions.cs	1594-1597	226b7d545edb	d7c5e3964e97
crates/terrustia-proto/src/conditional_drops.rs	fn can_drop_a_biome_soul	NPCID.cs	4440	6cf4cc564a70	d7c5e3964e97
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	1005	27a9d348337f	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	1031	dba2fc7af3c6	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	1050	d830ffbd7184	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	1051-1052	2022041e6ba7	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	1112	49b23a158e23	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	1137	0906dd3e50db	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	1148	b84c0de53bd5	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	266-270	9f3d4a37deed	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	341-345	596292f5376e	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	347-349	6da9e61b6e19	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	354-359	07ca99ab130e	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	383-385	3c382144ce88	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	389	8d58869d02fc	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	751-763	9269cb80c0a7	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	767-777	dfd46be46e44	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn chance_pools	ItemDropDatabase.cs	935	2b1a978e69c4	fb1d4b273043
crates/terrustia-proto/src/conditional_drops.rs	fn classic_only	ItemDropDatabase.cs	317	366e3214d342	ad373fd3cee7
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	Conditions.cs	1498-1503	1b04bcdacb7e	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	1034-1035	0da5be83ba87	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	1130-1133	828ee979d354	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	1157	c97add5af5a6	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	1162-1164	17e9025f5a76	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	1172-1173	390221e4d1f0	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	168-170	248df6ac3b68	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	179	52458fe0919b	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	179-182	27aaa2f6260d	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	185-236	be25a5015faa	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	201-203	e44874380868	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	203	0c5882540b7b	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	207-215	b49bf444f9a2	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	228-229	001bbd1d1355	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	238	b177f4ee3b0b	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	258-274	1fcaaa0ee7a8	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	333-334	22f35fa93ef8	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	342	026322687e23	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	350	38832ace73c9	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	351	9cd2c5f14189	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	372	fd58d558eaf0	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	376	8dd32687cae7	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	378	92703659b91a	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	384	538cd3bf5613	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	565-569	997a754be665	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	608-629	147998a98b4c	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	696-697	9b46a5176c93	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	743	6a9eca13424c	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	745-777	06212965ccb1	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	75	04b27bea8b11	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	787-788	e7a89f804776	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	939-940	e782dea8ab46	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	941-944	78802590135d	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	945-946	11fc409f9eba	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	959	355d31fba5ce	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropDatabase.cs	971-972	cb96acb97125	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropRule.cs	20	32b2efbf9728	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	ItemDropRule.cs	25-32	cb898690f3cb	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional	NPC.cs	67435-67446	1925e3c571e4	a0d38d40e265
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	373-374,381-382	c76c171dad8b	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	404	7632c769a5a3	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	550	18eb604eedc5	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	555-570	cba9bf61a6ec	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	563	296c940d8418	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn conditional_chains	ItemDropDatabase.cs	686	b420eb7a171f	3cc5b374496b
crates/terrustia-proto/src/conditional_drops.rs	fn frost_moon_gate_denominator	Conditions.cs	57-78	f2b3572ff710	0bf5f59f301b
